"","ID","Player","Color","Move","Eval","isInnovation","Advantage","Result","Comment"
"1",8,"Shankland, Sam","W","1. d4 ","0.3",0,"W","1/2-1/2",NA
"2",8,"Carlsen, Magnus","B","1... d5 ","0.28",0,"W","1/2-1/2",NA
"3",8,"Shankland, Sam","W","2. c4 ","0.35",0,"W","1/2-1/2",NA
"4",8,"Carlsen, Magnus","B","2... e6 ","0.32",0,"W","1/2-1/2",NA
"5",8,"Shankland, Sam","W","3. Nc3 ","0.39",0,"W","1/2-1/2",NA
"6",8,"Carlsen, Magnus","B","3... c5 ","0.51",0,"W","1/2-1/2",NA
"7",8,"Shankland, Sam","W","4. cxd5 ","0.42",0,"W","1/2-1/2",NA
"8",8,"Carlsen, Magnus","B","4... cxd4 ","0.64",0,"W","1/2-1/2",NA
"9",8,"Shankland, Sam","W","5. Qa4+ ","0.69",0,"W","1/2-1/2",NA
"10",8,"Carlsen, Magnus","B","5... Bd7 ","0.84",0,"W","1/2-1/2",NA
"11",8,"Shankland, Sam","W","6. Qxd4 ","0.62",0,"W","1/2-1/2",NA
"12",8,"Carlsen, Magnus","B","6... exd5 ","0.67",0,"W","1/2-1/2",NA
"13",8,"Shankland, Sam","W","7. Qxd5 ","0.62",0,"W","1/2-1/2",NA
"14",8,"Carlsen, Magnus","B","7... Nf6 ","0.66",0,"W","1/2-1/2",NA
"15",8,"Shankland, Sam","W","8. Qb3 ","0.65",0,"W","1/2-1/2",NA
"16",8,"Carlsen, Magnus","B","8... Na6 ","0.49",0,"W","1/2-1/2",NA
"17",8,"Shankland, Sam","W","9. Nf3 ","0.47",0,"W","1/2-1/2",NA
"18",8,"Carlsen, Magnus","B","9... Nc5 ","0.46",0,"W","1/2-1/2",NA
"19",8,"Shankland, Sam","W","10. Qc2 ","0.45",0,"W","1/2-1/2",NA
"20",8,"Carlsen, Magnus","B","10... Rc8 ","0.61",0,"W","1/2-1/2",NA
"21",8,"Shankland, Sam","W","11. e3 ","0.46",0,"W","1/2-1/2",NA
"22",8,"Carlsen, Magnus","B","11... Nce4 ","0.89",0,"W","1/2-1/2",NA
"23",8,"Shankland, Sam","W","12. Bd3 ","0.56",0,"W","1/2-1/2",NA
"24",8,"Carlsen, Magnus","B","12... Nxc3 ","0.71",0,"W","1/2-1/2",NA
"25",8,"Shankland, Sam","W","13. bxc3 ","0.82",0,"W","1/2-1/2",NA
"26",8,"Carlsen, Magnus","B","13... Nd5 ","0.42",0,"W","1/2-1/2",NA
"27",8,"Shankland, Sam","W","14. O-O ","0.67",0,"W","1/2-1/2",NA
"28",8,"Carlsen, Magnus","B","14... Nxc3 ","0.61",0,"W","1/2-1/2",NA
"29",8,"Shankland, Sam","W","15. Bb2 ","0.86",0,"W","1/2-1/2",NA
"30",8,"Carlsen, Magnus","B","15... Bb4 ","0.46",0,"W","1/2-1/2",NA
"31",8,"Shankland, Sam","W","16. Bxc3 ","0.2",0,"W","1/2-1/2",NA
"32",8,"Carlsen, Magnus","B","16... Bxc3 ","0.41",0,"W","1/2-1/2",NA
"33",8,"Shankland, Sam","W","17. Rab1 ","0.12",0,"W","1/2-1/2",NA
"34",8,"Carlsen, Magnus","B","17... Bf6 ","0.19",0,"W","1/2-1/2",NA
"35",8,"Shankland, Sam","W","18. Qe2 ","0.18",0,"W","1/2-1/2",NA
"36",8,"Carlsen, Magnus","B","18... Rc7 ","0.18",0,"W","1/2-1/2",NA
"37",8,"Shankland, Sam","W","19. e4 ","0.0",0,"W","1/2-1/2",NA
"38",8,"Carlsen, Magnus","B","19... O-O ","-0.05",0,"B","1/2-1/2",NA
"39",8,"Shankland, Sam","W","20. e5 ","0.0",0,"W","1/2-1/2",NA
"40",8,"Carlsen, Magnus","B","20... Be7 ","-0.03",0,"B","1/2-1/2",NA
"41",8,"Shankland, Sam","W","21. Nd4 ","0.02",0,"W","1/2-1/2",NA
"42",8,"Carlsen, Magnus","B","21... Bc5 ","0.0",0,"W","1/2-1/2",NA
"43",8,"Shankland, Sam","W","22. e6 ","0.07",0,"W","1/2-1/2",NA
"44",8,"Carlsen, Magnus","B","22... Bxe6 ","0.07",0,"W","1/2-1/2",NA
"45",8,"Shankland, Sam","W","23. Nxe6 ","0.0",0,"W","1/2-1/2",NA
"46",8,"Carlsen, Magnus","B","23... fxe6 ","0.0",0,"W","1/2-1/2",NA
"47",8,"Shankland, Sam","W","24. Qxe6+ ","0.0",0,"W","1/2-1/2",NA
"48",8,"Carlsen, Magnus","B","24... Kh8 ","0.0",0,"W","1/2-1/2",NA
"49",8,"Shankland, Sam","W","25. Qh3 ","-0.25",0,"B","1/2-1/2",NA
"50",8,"Carlsen, Magnus","B","25... h6 ","-0.24",0,"B","1/2-1/2",NA
"51",8,"Shankland, Sam","W","26. Qg3 ","-0.25",0,"B","1/2-1/2",NA
"52",8,"Carlsen, Magnus","B","26... Rd7 ","-0.23",0,"B","1/2-1/2",NA
"53",8,"Shankland, Sam","W","27. Rb3 ","-0.29",0,"B","1/2-1/2",NA
"54",8,"Carlsen, Magnus","B","27... Rf6 ","-0.09",0,"B","1/2-1/2",NA
"55",8,"Shankland, Sam","W","28. h3 ","-0.32",0,"B","1/2-1/2",NA
"56",8,"Carlsen, Magnus","B","28... b6 ","-0.21",0,"B","1/2-1/2",NA
"57",8,"Shankland, Sam","W","29. Be2 ","-0.43",0,"B","1/2-1/2",NA
"58",8,"Carlsen, Magnus","B","29... Rd2 ","-0.21",0,"B","1/2-1/2",NA
"59",8,"Shankland, Sam","W","30. Rd3 ","-0.23",0,"B","1/2-1/2",NA
"60",8,"Carlsen, Magnus","B","30... Rxd3 ","-0.22",0,"B","1/2-1/2",NA
"61",8,"Shankland, Sam","W","31. Bxd3?! ","-0.85",0,"B","1/2-1/2"," Inaccuracy. Qxd3 was best. } (31. Qxd3 Qxd3 32. Bxd3 g5 33. Bb5 Rf4 34. g3 Rb4 35. a4 a6 36. Bxa6 Rxa4 37. Bb5 Rb4)"
"62",8,"Carlsen, Magnus","B","31... Qd6?! ","-0.2",0,"B","1/2-1/2"," Inaccuracy. Qd5 was best. } (31... Qd5)"
"63",8,"Shankland, Sam","W","32. Qxd6 ","0.0",0,"W","1/2-1/2",NA
"64",8,"Carlsen, Magnus","B","32... Rxd6 ","-0.17",0,"B","1/2-1/2",NA
"65",8,"Shankland, Sam","W","33. Rd1 ","0.0",0,"W","1/2-1/2",NA
"66",8,"Carlsen, Magnus","B","33... g5 ","-0.19",0,"B","1/2-1/2",NA
"67",8,"Shankland, Sam","W","34. Kf1 ","-0.15",0,"B","1/2-1/2",NA
"68",8,"Carlsen, Magnus","B","34... Kg7 ","-0.06",0,"B","1/2-1/2",NA
"69",8,"Shankland, Sam","W","35. Bc2 ","-0.24",0,"B","1/2-1/2",NA
